id,url,time,text,replies,retweets,likes,views,media,has_quote
1823534175720485189,https://x.com/xenocosmography/status/1823534175720485189,2024-08-14 01:36:41,Yes.,1,0,2,89,,false
1823543048581857745,https://x.com/xenocosmography/status/1823543048581857745,2024-08-14 02:11:57,"The old Brecht joke was always a little too much on the nose. 
Wäre es da
Nicht doch einfacher, die Regierung
Löste das Volk auf und
Wählte ein anderes?",5,12,124,7414,,true
1823544367552012507,https://x.com/xenocosmography/status/1823544367552012507,2024-08-14 02:17:11,... Accelerated naturalization of a new pro-regime electorate: Cuck/acc,2,0,44,2067,,false
1823546735236669654,https://x.com/xenocosmography/status/1823546735236669654,2024-08-14 02:26:36,"... Cuckoo strategy. ""... and then we just heave the native chicks straight out of the nest.""",2,0,27,1887,https://pbs.twimg.com/media/GU6KDUwa4AMq8AG.jpg,false
1823558008645017866,https://x.com/xenocosmography/status/1823558008645017866,2024-08-14 03:11:23,Quality grim reading (🧵).,8,6,62,5437,,true
1823561854507212821,https://x.com/xenocosmography/status/1823561854507212821,2024-08-14 03:26:40,... Executive summary: No yet-existing political architecture anywhere on earth is able to support a multicultural free society.,4,3,69,1895,,false
1823563617859694808,https://x.com/xenocosmography/status/1823563617859694808,2024-08-14 03:33:41,Do left-liberals sincerely not recognize this as extreme violence?,2,0,22,501,,false
1823564770848727170,https://x.com/xenocosmography/status/1823564770848727170,2024-08-14 03:38:16,"As <a href=""/Steve_Sailer"" title=""Steve Sailer"">@Steve_Sailer</a>  has noted before, the young black female line here might be even more mind-melting than the space-pioneering young black male line.",4,7,98,6155,,true
1823569991637328061,https://x.com/xenocosmography/status/1823569991637328061,2024-08-14 03:59:00,"""A poll conducted by YouGov in 2022 found that 73 per cent of Trump voters believed Democrats are 'trying to replace white Americans with immigrants and people of color' who overwhelmingly vote for Democrats.""
-- Where would they get such a strange idea? <a href=""http://www.zerohedge.com/political/ny-times-feds-accelerating-naturalization-immigrants-reshape-electorate"">zerohedge.com/political/ny-t…</a>",9,39,266,13711,,false
1823575112744100068,https://x.com/xenocosmography/status/1823575112744100068,2024-08-14 04:19:21,How moderates vigilantly and successfully defend themselves against communists.,0,0,11,458,,false
1823588773336428880,https://x.com/xenocosmography/status/1823588773336428880,2024-08-14 05:13:38,"It's a way of sending things back to the states, so divergent (blue and red) tribal norms can be respected, and mature through adoption of responsibility. Among the best and most effective conservative ideas yet conceived.",5,10,169,6292,,true
1823592485186363732,https://x.com/xenocosmography/status/1823592485186363732,2024-08-14 05:28:23,"Hobbits sign-up with the Orc legions. Yarvin worst affected. <a href=""https://x.com/SeanAstin/status/1823337251578826928"">x.com/SeanAstin/status/18233…</a>",11,14,280,9444,,false
1823593317961253348,https://x.com/xenocosmography/status/1823593317961253348,2024-08-14 05:31:42,... They just want to grill ... Elves.,1,2,78,1911,,false
1823599165664059528,https://x.com/xenocosmography/status/1823599165664059528,2024-08-14 05:54:56,He has to go back.,2,3,91,4506,,true
1823610137594224736,https://x.com/xenocosmography/status/1823610137594224736,2024-08-14 06:38:32,"This is misconceived. Elite masonic deism was not an alternative to public Christianity, but a private adaptation of it. ('Straussian' even.)",4,0,21,841,,false
1823612281747595268,https://x.com/xenocosmography/status/1823612281747595268,2024-08-14 06:47:03,'Theocracy' is an anachronistic category. They were Anglo-Protestants who found the notion of an established church excessively papist.,1,0,7,258,,false
1823612903041425765,https://x.com/xenocosmography/status/1823612903041425765,2024-08-14 06:49:31,Didn't anyone just do a physiognomy check?,0,0,35,2942,,false
1823614936788164928,https://x.com/xenocosmography/status/1823614936788164928,2024-08-14 06:57:36,"Upside: Bright kids
Downside: I read about this in Revelation ...",0,0,9,526,,false
1823615670518796636,https://x.com/xenocosmography/status/1823615670518796636,2024-08-14 07:00:31,Revelation XVII moment.,13,12,209,12101,,true
1823623374003978445,https://x.com/xenocosmography/status/1823623374003978445,2024-08-14 07:31:08,Zookeeping the Neo-Nazi psy-op circus has to do ruinous things to the soul.,2,0,26,890,,false
1823626350936383720,https://x.com/xenocosmography/status/1823626350936383720,2024-08-14 07:42:58,Incarnated Basilisk program is still on track.,1,1,18,677,,false
1823643466146156603,https://x.com/xenocosmography/status/1823643466146156603,2024-08-14 08:50:58,Angelological Light where there is None.,5,0,2,255,,false
1823644814950437046,https://x.com/xenocosmography/status/1823644814950437046,2024-08-14 08:56:20,"Bitter-sweet moment for Ben Affleck. <a href=""https://x.com/iamyesyouareno/status/1823636050826109406"">x.com/iamyesyouareno/status/…</a>",0,0,16,1641,,false
1823645813379358956,https://x.com/xenocosmography/status/1823645813379358956,2024-08-14 09:00:18,He has to go back.,8,9,337,10142,,true
1823690982631891192,https://x.com/xenocosmography/status/1823690982631891192,2024-08-14 11:59:47,"Established Freemasonic Illuminists were extremely tactful in their public pronouncements about religion. Even Paine is, in his published writings.",0,0,5,171,,false
1823692704238461399,https://x.com/xenocosmography/status/1823692704238461399,2024-08-14 12:06:37,"That's why he's taking the knee, in part, but mostly just to be a dick.",0,0,1,171,,false
1823704522398818492,https://x.com/xenocosmography/status/1823704522398818492,2024-08-14 12:53:35,KJV or go home.,1,0,7,396,,false
1823705080656548091,https://x.com/xenocosmography/status/1823705080656548091,2024-08-14 12:55:48,Acceptable.,0,0,2,200,,false
1823766185411850449,https://x.com/xenocosmography/status/1823766185411850449,2024-08-14 16:58:37,Why are Catholics like this?,31,5,254,13115,,true
1823770021858038018,https://x.com/xenocosmography/status/1823770021858038018,2024-08-14 17:13:51,"... ""Minimal racial survival would be nice.""
""Catholic here, no.""",2,5,132,3051,,false
