id,url,time,text,replies,retweets,likes,views,media,has_quote
1880436174139060353,https://x.com/xenocosmography/status/1880436174139060353,2025-01-18 02:04:55,The MAGA moment marks the end of the (very Anglo) project of running The Anglo-Protestant Whig Tradition without Anglos.,15,21,362,13244,,false
1880437085552922883,https://x.com/xenocosmography/status/1880437085552922883,2025-01-18 02:08:32,Couse correction to realistically valued widgets is best plausible outcome.,0,0,4,148,,false
1880442111176372237,https://x.com/xenocosmography/status/1880442111176372237,2025-01-18 02:28:30,"What was going to replace them? Literally anything. But that's over. 
Turns out Capital has an ethnobiological substrate that's not easily swapped-out. 'Liberal civilization' doesn't transplant.",5,6,62,1813,,false
1880442251333218451,https://x.com/xenocosmography/status/1880442251333218451,2025-01-18 02:29:04,That was among the most recent things tried.,0,0,1,86,,false
1880453200626831672,https://x.com/xenocosmography/status/1880453200626831672,2025-01-18 03:12:34,Eww,0,0,0,139,,false
1880453921539518944,https://x.com/xenocosmography/status/1880453921539518944,2025-01-18 03:15:26,"Obvious perverse effect here is that people would have to smoke a lot more to get their nicotine hit, making the habit much more dangerous.",6,1,57,1538,,false
1880454789978558679,https://x.com/xenocosmography/status/1880454789978558679,2025-01-18 03:18:53,Absolute clown world in the rear-view mirror.,5,13,333,11281,,true
1880466248078893076,https://x.com/xenocosmography/status/1880466248078893076,2025-01-18 04:04:25,... Invoking a fantasy constitution is the perfect goodbye message from this pack of criminals. Rebooting the real one is going to be lit.,4,13,259,4122,,false
1880477115289858428,https://x.com/xenocosmography/status/1880477115289858428,2025-01-18 04:47:36,Techno-religious time dissolution seems to be going well.,2,6,92,6453,,true
1880496297691738158,https://x.com/xenocosmography/status/1880496297691738158,2025-01-18 06:03:49,It's almost as if they're telling us an obvious solution to the problem has been missed.,7,9,159,7647,,true
1880500275255132322,https://x.com/xenocosmography/status/1880500275255132322,2025-01-18 06:19:38,'Autoremigration' trends to zero like 'Countdown' to a higher power.,2,7,99,6579,,true
1880503779226972635,https://x.com/xenocosmography/status/1880503779226972635,2025-01-18 06:33:33,BAP showing definite signs of Angelic Intercourse deprivation.,13,9,383,34879,,true
1880505581720780813,https://x.com/xenocosmography/status/1880505581720780813,2025-01-18 06:40:43,Fair.,0,0,33,1705,,false
1880508071191224594,https://x.com/xenocosmography/status/1880508071191224594,2025-01-18 06:50:36,Turns out Cthulhu swims right very competently (when the stars are right).,35,30,555,20430,,false
1880510124034519227,https://x.com/xenocosmography/status/1880510124034519227,2025-01-18 06:58:46,'Dark Christianity' is a check on simple-minded pagan regression.,2,1,25,1975,,false
1880510482295189552,https://x.com/xenocosmography/status/1880510482295189552,2025-01-18 07:00:11,More inclined to think Cthulhu only seemed to swim left as a feint.,3,1,35,1235,,false
1880511176435744908,https://x.com/xenocosmography/status/1880511176435744908,2025-01-18 07:02:57,Leaving religion isn't something anyone can really do.,4,4,73,1612,,false
1880536453542998247,https://x.com/xenocosmography/status/1880536453542998247,2025-01-18 08:43:23,US$113 is about 5% of what Elon has told us is eliminable.,3,0,7,724,,false
1880561155825189338,https://x.com/xenocosmography/status/1880561155825189338,2025-01-18 10:21:33,"Attributing Synx to the Ccru is odd, though. It was discovered by Albano.",3,0,10,1014,,false
1880561420531863884,https://x.com/xenocosmography/status/1880561420531863884,2025-01-18 10:22:36,... Who I greatly miss.,1,0,8,385,,false
1880561928604725469,https://x.com/xenocosmography/status/1880561928604725469,2025-01-18 10:24:37,No church is micro-sectarian enough for my level of Protestantism.,2,5,52,1571,,false
1880568472369033618,https://x.com/xenocosmography/status/1880568472369033618,2025-01-18 10:50:37,'Descensus christi ad inferos' (Synx (also from Albano)) is the greatest non-English new cypher result I'm aware of.,3,0,12,2639,,false
1880569610011132065,https://x.com/xenocosmography/status/1880569610011132065,2025-01-18 10:55:08,'Qabballah' (AQ) matches the corresponding value in Hebrew.,1,0,4,498,,false
1880576769310482527,https://x.com/xenocosmography/status/1880576769310482527,2025-01-18 11:23:35,Thank you. I needed that information to a degree that is difficult to express.,4,0,9,735,,false
1880585900885004297,https://x.com/xenocosmography/status/1880585900885004297,2025-01-18 11:59:53,"I keep thinking he's lost his mind to the greatest extent possible, and then he sheds a whole new level.",1,0,23,1003,,false
1880592290907054364,https://x.com/xenocosmography/status/1880592290907054364,2025-01-18 12:25:16,"'Memoir' has to be a joke, right?",19,15,285,13121,,true
1880592585024237993,https://x.com/xenocosmography/status/1880592585024237993,2025-01-18 12:26:26,... Like a paraplegic working on his breast stroke.,4,2,88,4185,,false
