id,url,time,text,replies,retweets,likes,views,media,has_quote
1975798156966436993,https://x.com/tszzl/status/1975798156966436993,2025-10-08 05:39:23,unless I am mistaken a huge demand for capital investment raises real interest rates. but we are seeing no such improvement in real interest rates. they are continuing on larry summer’s secular stagnation trend,1,0,3,253,,false
1975807150598594797,https://x.com/tszzl/status/1975807150598594797,2025-10-08 06:15:08,nothing else is going right right now but at least I’ve got codex,2,1,44,2364,,false
1975990558842814947,https://x.com/tszzl/status/1975990558842814947,2025-10-08 18:23:56,in my experience at openai something horrible happens in the immediate aftermath of dev day so stay wary,77,17,990,237642,,false
1975994034557747313,https://x.com/tszzl/status/1975994034557747313,2025-10-08 18:37:44,don’t joke about Suchir in my replies,6,2,173,10222,,false
1975994724818502047,https://x.com/tszzl/status/1975994724818502047,2025-10-08 18:40:29,"Schizoanalysis works differently. It avoids Ideas, and sticks to diagrams: networking software for accessing bodies without organs",56,30,669,63371,https://pbs.twimg.com/media/G2wkut3bEAAy_UR.jpg,false
1975999096256422366,https://x.com/tszzl/status/1975999096256422366,2025-10-08 18:57:51,"it’s fascinating how large a place global warming &amp; climate catastrophe in the collective geist not so long ago. even landian “meltdown” / “extropic” lives off of the imagery of an earth system heating up. now it’s broadly tossed aside, but not because it was fake",77,11,532,48625,,false
1975999757480038526,https://x.com/tszzl/status/1975999757480038526,2025-10-08 19:00:29,"“Over the same period that the climate has warmed by 1.5 degrees, the global population has more than quadrupled, per capita income has increased by a factor of ten, and the scale of infrastructure, social services, and technology that protect people and wealth from climate extremes has expanded massively. These latter factors simply overwhelm the climate signal.”",18,3,166,11796,,false
1976012853493760360,https://x.com/tszzl/status/1976012853493760360,2025-10-08 19:52:31,I don’t think it has that much to do with agi,1,0,1,296,,false
1976014289707343909,https://x.com/tszzl/status/1976014289707343909,2025-10-08 19:58:13,😂😂😂,107,24,1621,157476,,true
1976023996023046322,https://x.com/tszzl/status/1976023996023046322,2025-10-08 20:36:48,"I laugh because this has never been an economic parameter. Europe and the US participate in the same global economy and have wildly different work schedules. The five day workweek was invented by labor unions and Henry ford 

red queen race means as long as there’s relative status there’s always benefit to working more and earning more than your neighbor, and it has little to do with gdp growth. four day workweek is one of those things that have always been promised via economic progress but has only come unevenly to some of the remote work laptop class 

ai may rebalance labor vs capital power in either direction, or in long term scenarios may spell the end of real work. it’s unclear and jensen saying this feels like a cynical continuation of an old promise",20,6,271,13490,,false
1976027315743359103,https://x.com/tszzl/status/1976027315743359103,2025-10-08 20:49:59,Omohundro drives. the companies that focuses on self improvement win. vast majority of compute will continue to be used on ai progress. even major mathematical or scientific discovery is an interim production to raise more capital to do more self improvement,21,10,205,21432,,false
1976028025268600890,https://x.com/tszzl/status/1976028025268600890,2025-10-08 20:52:48,my core function are the thoughts. I must do the ai research from time to time so my thoughts stay fresh,3,0,41,769,,false
1976031423263052278,https://x.com/tszzl/status/1976031423263052278,2025-10-08 21:06:18,you know as well as i do that’s not inconsistent if you think about it for ten minutes,1,0,6,254,,false
1976037122349076521,https://x.com/tszzl/status/1976037122349076521,2025-10-08 21:28:57,possibly true. good answer to alignment problem,0,0,3,184,,false
1976044854410084813,https://x.com/tszzl/status/1976044854410084813,2025-10-08 21:59:41,"the Chicomm ideology is different than liberalism, and their total culture victory would involve my values losing to other values. I don’t see what’s complicated about that",4,0,15,508,,false
1976046707243991072,https://x.com/tszzl/status/1976046707243991072,2025-10-08 22:07:02,we may be on the decline is miles above never having had any liberal values at all,2,0,14,575,,false
