id,url,time,text,replies,retweets,likes,views,media,has_quote
1322818614840483843,https://x.com/LandsharkRides/status/1322818614840483843,2020-11-01 08:31:49,Satanic plan to disrupt circadian rhythm,0,0,0,0,,false
1322820148462583809,https://x.com/LandsharkRides/status/1322820148462583809,2020-11-01 08:37:54,"Thank you for the kind words, Brudder, I am anti-democratic in all of my endeavors",0,0,14,0,,false
1322821159964999680,https://x.com/LandsharkRides/status/1322821159964999680,2020-11-01 08:41:56,"tbh I think this might just be a medical eye issue, not necessarily non-mechanical in nature, have u asked a doc about them?",1,0,1,0,,false
1322821806110158851,https://x.com/LandsharkRides/status/1322821806110158851,2020-11-01 08:44:30,"ghost was just thirsty, had to take a sip.... no hard feelings",1,0,2,0,,false
1322821993255886848,https://x.com/LandsharkRides/status/1322821993255886848,2020-11-01 08:45:14,Read Seraphim Rose's Orthodoxy and the Religion of the Future for an answer friend,0,0,0,0,,false
1322822072117141504,https://x.com/LandsharkRides/status/1322822072117141504,2020-11-01 08:45:33,we been riding together for some time,0,0,0,0,,false
1322827610154536965,https://x.com/LandsharkRides/status/1322827610154536965,2020-11-01 09:07:33,"<a href=""https://www.youtube.com/watch?v=NTK6sTIsDpg"">youtube.com/watch?v=NTK6sTIs…</a>",0,0,0,0,,false
1322836281538322433,https://x.com/LandsharkRides/status/1322836281538322433,2020-11-01 09:42:01,u were probably dreaming about him/her too,1,0,4,0,,false
1322851090774241280,https://x.com/LandsharkRides/status/1322851090774241280,2020-11-01 10:40:52,Yooooooo we back,1,0,6,0,,false
1322857533208432640,https://x.com/LandsharkRides/status/1322857533208432640,2020-11-01 11:06:28,"Someone rate my upper body workout:

Some stretching to prevent injury
3x5 behind the neck push press
4x12 upright rows
3x3 decline bench (no spotter so using safety collars 100% unless on smith machine)",14,0,50,0,,false
1322874171458813952,https://x.com/LandsharkRides/status/1322874171458813952,2020-11-01 12:12:34,Any poem that mentions poets or poetry belongs to the shitterhole,5,0,46,0,,false
1322887381566005248,https://x.com/LandsharkRides/status/1322887381566005248,2020-11-01 13:05:04,So much of all today will go down the gutter,0,0,17,0,,false
1322890101186301958,https://x.com/LandsharkRides/status/1322890101186301958,2020-11-01 13:15:52,"""Any creature in this world, even the littlest, has a corner of its own, in which it is undefeatable""",3,1,101,0,,false
1322901055034765312,https://x.com/LandsharkRides/status/1322901055034765312,2020-11-01 13:59:24,"dw bro, im just trolling",0,0,5,0,,false
1322925178339418114,https://x.com/LandsharkRides/status/1322925178339418114,2020-11-01 15:35:15,Please dont actually try this btw,1,0,19,0,,false
1322928178587979777,https://x.com/LandsharkRides/status/1322928178587979777,2020-11-01 15:47:11,"""The day laughs at the works of the night""",0,0,18,0,,false
1322940832304013313,https://x.com/LandsharkRides/status/1322940832304013313,2020-11-01 16:37:28,MOG (Mike Ma Occupied Government),1,0,48,0,,true
1322941605343625220,https://x.com/LandsharkRides/status/1322941605343625220,2020-11-01 16:40:32,Compulsatory 30 day bench press routines for schoolchildren and a daily state-mandated gallon of kefir in every household,1,0,31,0,,false
1322945515701620737,https://x.com/LandsharkRides/status/1322945515701620737,2020-11-01 16:56:04,I like my coffee like I like my Logo... the most in spring,1,0,5,0,,false
1322948352447815684,https://x.com/LandsharkRides/status/1322948352447815684,2020-11-01 17:07:21,Gaslighting? I prefer whale oil. Burns cleaner.,4,0,72,0,,false
1322952294065938432,https://x.com/LandsharkRides/status/1322952294065938432,2020-11-01 17:23:00,"It's important to remember that if we have the control over media that they have, for ONE single day, this world will never be the same afterwards",4,0,88,0,,false
1322953396475908106,https://x.com/LandsharkRides/status/1322953396475908106,2020-11-01 17:27:23,"If you give Alex Jones control of CNN for a single day it's all going to come crashing down, this is how fragile the entire system is",2,0,72,0,,false
1322954728939134976,https://x.com/LandsharkRides/status/1322954728939134976,2020-11-01 17:32:41,"""Yeah I am a fascist why do you ask""",5,0,109,0,,true
1322958231677841419,https://x.com/LandsharkRides/status/1322958231677841419,2020-11-01 17:46:36,hey its you,1,0,1,0,,false
1322959925170053120,https://x.com/LandsharkRides/status/1322959925170053120,2020-11-01 17:53:20,"Important to note that theorycels were BTFOd in the womb, it was over for them before it even started",1,0,20,0,,false
1322960998626693122,https://x.com/LandsharkRides/status/1322960998626693122,2020-11-01 17:57:36,many will have to die.....,1,0,7,0,,false
1322961232324939782,https://x.com/LandsharkRides/status/1322961232324939782,2020-11-01 17:58:31,"I had a bro who apparently had a twin in the womb and somehow ended up consuming him, bloatmax since day 0",0,0,2,0,,false
1322969329445593094,https://x.com/LandsharkRides/status/1322969329445593094,2020-11-01 18:30:42,nehmahls is houngry,0,0,9,0,,false
1322981180388581377,https://x.com/LandsharkRides/status/1322981180388581377,2020-11-01 19:17:47,Trump playing Biden speeches at his own events just to laugh at them is such a mogul move,2,0,145,0,,false
1322981281790119937,https://x.com/LandsharkRides/status/1322981281790119937,2020-11-01 19:18:12,ofc,1,0,1,0,,false
1322988410076844038,https://x.com/LandsharkRides/status/1322988410076844038,2020-11-01 19:46:31,"Interesting link between Missing 411 phenomenon and development of cancer in some victims, I believe most likely related to involvement of some kind of radiation, also same is reported to occur near aerial anomaly locations. Good episode, I keep shilling
 
<a href=""https://www.youtube.com/watch?v=lpSF8FODw_4"">youtube.com/watch?v=lpSF8FOD…</a>",2,0,10,0,,false
1322990003132289026,https://x.com/LandsharkRides/status/1322990003132289026,2020-11-01 19:52:51,I see zero reason to believe any of this to be honest,2,0,9,0,,false
1322990183441195009,https://x.com/LandsharkRides/status/1322990183441195009,2020-11-01 19:53:34,"like there is an obvious reason to them choosing this backstory/lore for him and it is meaningful as a story, but it never happened",1,0,5,0,,false
1322991120821981186,https://x.com/LandsharkRides/status/1322991120821981186,2020-11-01 19:57:17,"A nation that trains its Olympic weightlifters since the age of 3 years old is not going to have a leader who was ever a random person. Well, it has a Nomenklatura, not a leader, but you already know this. All of this was written by what you call a ""think tank"". Don't be naive",1,0,6,0,,false
1322991644971552769,https://x.com/LandsharkRides/status/1322991644971552769,2020-11-01 19:59:22,"""Nuke Chyna"" are my final words on the topic",1,0,0,0,,false
1322993079582949378,https://x.com/LandsharkRides/status/1322993079582949378,2020-11-01 20:05:04,"I know that the Chinese have the largest social network sphere centered around animal abuse, that they are communists, that my ancestors destroyed theirs, that they will be worse than the Soviets, that they can collapse inwards if we give them a better push, this is enough for me",2,0,4,0,,false
1322993231676788736,https://x.com/LandsharkRides/status/1322993231676788736,2020-11-01 20:05:41,Both of these are abominable to me,0,0,1,0,,false
1322993530697142274,https://x.com/LandsharkRides/status/1322993530697142274,2020-11-01 20:06:52,"Ah no I would gladly nuke America too if I could, make no mistake",1,0,5,0,,false
1322993691913523200,https://x.com/LandsharkRides/status/1322993691913523200,2020-11-01 20:07:30,yes,0,0,3,0,,false
1322994540173791233,https://x.com/LandsharkRides/status/1322994540173791233,2020-11-01 20:10:53,There is no need for prison in a land where the spirit of men is crushed,3,0,59,0,,false
1322994852674633729,https://x.com/LandsharkRides/status/1322994852674633729,2020-11-01 20:12:07,"(non-systematized) Anarchy: no prisons
State exists: few prisons
Low Authoritarianism: plenty prisons
High Authoritarianism: few prisons
Totalitarianism: no prisons",1,0,7,0,,false
1322995126319407110,https://x.com/LandsharkRides/status/1322995126319407110,2020-11-01 20:13:12,"Again, zero reason to believe any of this, zero reason to believe State statistics, just as there is zero reason to believe Norway is happier than Uganda. All of this is ugly, disgusting, abominable",2,0,5,0,,false
1322995378980036613,https://x.com/LandsharkRides/status/1322995378980036613,2020-11-01 20:14:13,They have confiscated their people's firearms,2,0,5,0,,false
1322995552347443202,https://x.com/LandsharkRides/status/1322995552347443202,2020-11-01 20:14:54,,2,0,2,0,https://pbs.twimg.com/media/Elw5aYuW0AEnSlm.jpg,false
1322995853951467526,https://x.com/LandsharkRides/status/1322995853951467526,2020-11-01 20:16:06,"No, this is bad, all men have souls, they too deserve freedom",0,0,0,0,,false
1322995937665536000,https://x.com/LandsharkRides/status/1322995937665536000,2020-11-01 20:16:26,okay u 100% just googled this one,1,0,8,0,,false
1322996680682254336,https://x.com/LandsharkRides/status/1322996680682254336,2020-11-01 20:19:23,"I think the more aware one is of his nation's own propaganda, the more likely he is to fall for that of others",7,0,105,0,,false
1322997567144251393,https://x.com/LandsharkRides/status/1322997567144251393,2020-11-01 20:22:54,"You peek under the Iron Curtain, see Western ""freedom"", you suddenly turn into a hippy, you see the CIA and social engineering for what they are, suddenly you soyface over the Soviets. You rush to hug foreign behemoths, you run from Moloch to worship Baal. All is monstrous, evil.",2,0,87,0,,false
1322998055487131663,https://x.com/LandsharkRides/status/1322998055487131663,2020-11-01 20:24:51,A shower of atom bombs upon it and the voice of the howling wind over its ruins,1,0,35,0,,false
1322999418241646594,https://x.com/LandsharkRides/status/1322999418241646594,2020-11-01 20:30:16,&gt;tfw no,0,0,0,0,,false
1322999481776877568,https://x.com/LandsharkRides/status/1322999481776877568,2020-11-01 20:30:31,I love all my communist friends here,0,0,0,0,,false
1323000111526498304,https://x.com/LandsharkRides/status/1323000111526498304,2020-11-01 20:33:01,I don't trust literally any statistics,5,0,114,0,,false
1323000695973359619,https://x.com/LandsharkRides/status/1323000695973359619,2020-11-01 20:35:20,You see 98% of people will vote for Hillary! Back in the day the average lifespan was actually 30 years and today we're healthier than ever! We have an overpopulation problem. People in the West are the happiest in the world and have the most biggest freedom. Trust me! Trust me!,3,0,90,0,,false
1323001182927966213,https://x.com/LandsharkRides/status/1323001182927966213,2020-11-01 20:37:16,Have you not taken the negative ion pill already,0,0,5,0,,false
1323001408606580741,https://x.com/LandsharkRides/status/1323001408606580741,2020-11-01 20:38:10,😳😳😳,0,0,2,0,,false
1323004286402469901,https://x.com/LandsharkRides/status/1323004286402469901,2020-11-01 20:49:36,"""If you are receiving this transmission, you are the resistance.""",1,0,56,0,,false
1323005503090339840,https://x.com/LandsharkRides/status/1323005503090339840,2020-11-01 20:54:26,You can get killed for this here,1,0,28,0,,false
1323006790754312195,https://x.com/LandsharkRides/status/1323006790754312195,2020-11-01 20:59:33,The Englishman's wit is undefeatable,0,0,8,0,,false
1323010906989699072,https://x.com/LandsharkRides/status/1323010906989699072,2020-11-01 21:15:55,Pence deserves a better story arc than what he got,0,0,1,0,,false
1323011224255254529,https://x.com/LandsharkRides/status/1323011224255254529,2020-11-01 21:17:10,ЛОЛ,0,0,2,0,,false
1323012964522360832,https://x.com/LandsharkRides/status/1323012964522360832,2020-11-01 21:24:05,Motherfuckers buy a pair of Ricks..... and wear them till they Morties 😂😂,0,0,5,0,,false
1323013393876475905,https://x.com/LandsharkRides/status/1323013393876475905,2020-11-01 21:25:48,You can reverse this by reading only the first sentence of schoolbook paragraphs and get 50% on da exam,0,0,4,0,,false
1323014413012635648,https://x.com/LandsharkRides/status/1323014413012635648,2020-11-01 21:29:51,If only she could hear you playing her a beautiful song she would surely be immediately enchanted,0,0,3,0,,false
1323016616775426049,https://x.com/LandsharkRides/status/1323016616775426049,2020-11-01 21:38:36,mustard is good with meat wtf,1,0,0,0,,false
1323018261202669569,https://x.com/LandsharkRides/status/1323018261202669569,2020-11-01 21:45:08,"We all love and respect you, and appreciate you sharing such private moments with us. This is life at its most brutal and hardest, it's good for people to be reminded of these dark aspects of it. We, as your comrades, will always be here to listen, especially if it helps you.",1,0,23,0,,false
1323019084204789760,https://x.com/LandsharkRides/status/1323019084204789760,2020-11-01 21:48:24,Skallas tweet,0,0,7,0,,false
1323021017233657857,https://x.com/LandsharkRides/status/1323021017233657857,2020-11-01 21:56:05,Sungazing at sunset and sunrise for a few seconds sets your sleep cycle right and improves sleep quality,1,0,39,0,,false
