id,url,time,text,replies,retweets,likes,views,media,has_quote
1947550855026081964,https://x.com/LandsharkRides/status/1947550855026081964,2025-07-22 06:54:42,"My mom has a Magnesium supplement that says it's ""Ethical and Pure"" on the bottle. What does ethical even mean here? The Magnesium Elemental was humanely slaughtered? It also says it's made with recycling in mind. How do you even recycle Magnesium? Return it to the Prima Materia?",20,0,483,8895,,false
1947553027386179797,https://x.com/LandsharkRides/status/1947553027386179797,2025-07-22 07:03:20,Halal Magnesium where the Elemental is slaughtered in halal way,1,0,126,2940,,false
1947553160987349398,https://x.com/LandsharkRides/status/1947553160987349398,2025-07-22 07:03:52,English it's some international brand,0,0,8,335,,false
1947553474062815500,https://x.com/LandsharkRides/status/1947553474062815500,2025-07-22 07:05:06,Stealing thsi,0,0,1,61,,false
1947571477848723490,https://x.com/LandsharkRides/status/1947571477848723490,2025-07-22 08:16:39,There's that article you can find talking about it and the study and also haidut made a few good podcasts about it... Not sure about anything new though,0,0,2,77,,false
1947580607665737761,https://x.com/LandsharkRides/status/1947580607665737761,2025-07-22 08:52:55,A few years ago after reading Contrary Pancake posts about the Pacific War I would go to my grandfather's apartment and ask him if it's true no one expected the war to end after the nukes were used and everyone thought it would go on for years and he remembered it that way too.,2,0,128,5875,,true
1947580612002386008,https://x.com/LandsharkRides/status/1947580612002386008,2025-07-22 08:52:56,Incredible privilege to be able to speak with someone who remembers historic events and was actually alive when it all happened.,2,0,67,2430,,false
1947604041673933012,https://x.com/LandsharkRides/status/1947604041673933012,2025-07-22 10:26:02,,9,0,419,7292,https://pbs.twimg.com/media/GwdHiomW4AAR4tr.jpg,false
1947621913364185126,https://x.com/LandsharkRides/status/1947621913364185126,2025-07-22 11:37:03,Imagine if India started sponsoring international neo-pagan groups/movements like Israel does with Evangelical Protestantism. There's probably now a non-zero neo-pagan demographic in some European countries. What if the Indian government just started funneling money into them?,17,0,189,6619,,false
1947624367858585872,https://x.com/LandsharkRides/status/1947624367858585872,2025-07-22 11:46:49,"I mean support/promote somehow I worded it bad, I didn't mean Israel funds Evangelicals",1,0,4,257,,false
1947624879680897287,https://x.com/LandsharkRides/status/1947624879680897287,2025-07-22 11:48:51,"Minorities like this are very useful politically, like how the British funneled money into the Old Believer families in Russia like them Morozovs and later funded some Bolsheviks through them to set the revolution up. India can position itself as a global hub of paganism.",2,0,66,2880,,false
