id,url,time,text,replies,retweets,likes,views,media,has_quote
1490147232024125445,https://x.com/keshinhymns/status/1490147232024125445,2022-02-06 02:16:00,Thank you,0,0,0,0,,false
1490162026886221824,https://x.com/keshinhymns/status/1490162026886221824,2022-02-06 03:14:47,I can’t help but think a faithful translation of this would invoke “dharma”,0,0,0,0,,false
1490181514100834310,https://x.com/keshinhymns/status/1490181514100834310,2022-02-06 04:32:13,"Someone had a really fun q basically asking if really good rotators had access to any of the mechanisms (ex: matrix multiplication) that the brain might use to rotate

I say ""no"" bc rotating is intuitive rather than mechanical, and there was some interesting discussion abt this",1,0,2,0,,false
