id,url,time,text,replies,retweets,likes,views,media,has_quote
1265282584474517504,https://x.com/Outsideness/status/1265282584474517504,2020-05-26 14:04:10,It's been noted for a while that the most obviously stupid opinions function as the best solidarity signals. This is one of those.,0,0,8,0,,false
1265282799268962305,https://x.com/Outsideness/status/1265282799268962305,2020-05-26 14:05:01,He's a joke.,0,0,13,0,,false
1265283858171400192,https://x.com/Outsideness/status/1265283858171400192,2020-05-26 14:09:14,Immanuel's weird idea comes full circle.,10,4,86,0,,true
1265302009202311169,https://x.com/Outsideness/status/1265302009202311169,2020-05-26 15:21:21,Are we sure this isn't Andrew Anglin?,1,0,12,0,,false
1265322202909552643,https://x.com/Outsideness/status/1265322202909552643,2020-05-26 16:41:36,"Openly rebranding as the Quisling party looks like a 6D chess move. <a href=""https://x.com/AllegedlyZo/status/1264949747485417472?s=20"">x.com/AllegedlyZo/status/126…</a>",12,17,132,0,,false
