id,url,time,text,replies,retweets,likes,views,media,has_quote
1242625174513516545,https://x.com/Outsideness/status/1242625174513516545,2020-03-25 01:31:43,"Steve has to be hoping the winter sports industry lacks a practical grasp of assassination markets. <a href=""https://www.unz.com/isteve/black-ski-group-hit-hard-by-virus/"">unz.com/isteve/black-ski-gro…</a>",2,0,9,0,,false
1242800667628101634,https://x.com/Outsideness/status/1242800667628101634,2020-03-25 13:09:03,... A Fifth Monarchist Meta-Analysis,1,0,3,0,,false
1242806260963180545,https://x.com/Outsideness/status/1242806260963180545,2020-03-25 13:31:17,"In a plague year even neocons turn accelerationist. <a href=""https://nationalinterest.org/blog/buzz/pandemics-can-fast-forward-rise-and-fall-great-powers-136417"">nationalinterest.org/blog/bu…</a>",2,5,48,0,,false
1242807045952344071,https://x.com/Outsideness/status/1242807045952344071,2020-03-25 13:34:24,"""Luxembourg ... has more cases per capita than Italy and one of the highest rates in the world."" <a href=""https://www.newstatesman.com/world/europe/2020/03/luxembourg-coronavirus-covid-19-cases-testing-crossborder"">newstatesman.com/world/europ…</a>",3,2,29,0,,false
1242808385621372928,https://x.com/Outsideness/status/1242808385621372928,2020-03-25 13:39:44,... This is a footnote to the 'Coronachan mostly hates liberalism' main narrative.,4,1,21,0,,false
1242810424606756865,https://x.com/Outsideness/status/1242810424606756865,2020-03-25 13:47:50,"Singapore seems to be doing well, though.",2,0,7,0,,false
1242811165748666368,https://x.com/Outsideness/status/1242811165748666368,2020-03-25 13:50:46,"It was called ""the Great War"" because a worse one was thought inconceivable. <a href=""https://www.project-syndicate.org/commentary/coronavirus-greater-great-depression-by-nouriel-roubini-2020-03"">project-syndicate.org/commen…</a>",1,4,44,0,,false
1242811863169196035,https://x.com/Outsideness/status/1242811863169196035,2020-03-25 13:53:33,"Surprise! <a href=""https://www.bloomberg.com/opinion/articles/2020-03-24/can-china-be-sued-over-the-coronavirus"">bloomberg.com/opinion/articl…</a>",5,3,42,0,,false
1242813634063085571,https://x.com/Outsideness/status/1242813634063085571,2020-03-25 14:00:35,Skier's Pox.,0,0,3,0,,false
1242816981604151296,https://x.com/Outsideness/status/1242816981604151296,2020-03-25 14:13:53,"""Stop obsessing over bioleninism and think about the heavens,"" they said. 
The heavens: ""While black holes, white dwarfs, brown dwarfs, and neutron stars all exist today, during the Degenerate Era they will dominate the universe."" <a href=""https://astronomy.com/news/2020/03/the-degenerate-era-when-the-universe-stops-making-stars"">astronomy.com/news/2020/03/t…</a>",3,3,59,0,,false
1242817368969162753,https://x.com/Outsideness/status/1242817368969162753,2020-03-25 14:15:25,"... On the positive side: ""'The universe will be burned-out and cold,' he says, 'and it will just get colder over time.'""",1,0,19,0,,false
1242818503566143489,https://x.com/Outsideness/status/1242818503566143489,2020-03-25 14:19:56,"""Some merged, chaotic galaxies of discarded stellar corpses will still be able to form ...""
-- Unironically think this should be chiseled onto the statue of liberty.",0,0,1,0,,false
1242819145164558338,https://x.com/Outsideness/status/1242819145164558338,2020-03-25 14:22:29,Not enough brown dwarfs yet.,1,0,13,0,,false
1242821603613904899,https://x.com/Outsideness/status/1242821603613904899,2020-03-25 14:32:15,"""Are you ready for a world where the speed premium is so insanely high?"" <a href=""https://marginalrevolution.com/marginalrevolution/2020/03/the-speed-premium-in-an-exponentially-growing-pandemic-world.html"">marginalrevolution.com/margi…</a>",1,1,20,0,,false
1242880886779056128,https://x.com/Outsideness/status/1242880886779056128,2020-03-25 18:27:49,"Dark. <a href=""https://www.zerohedge.com/health/poll-100-americans-expect-get-covid-19"">zerohedge.com/health/poll-10…</a>",10,4,62,0,,false
1242928619065880578,https://x.com/Outsideness/status/1242928619065880578,2020-03-25 21:37:29,"Real figure of 4,000 Covid-19 deaths a day in Italy? <a href=""https://westhunt.wordpress.com/2020/03/25/just-another-flu-in-bergamo/"">westhunt.wordpress.com/2020/…</a>",2,0,17,0,,false
1242940097647034368,https://x.com/Outsideness/status/1242940097647034368,2020-03-25 22:23:06,Disrespecting the authorized propaganda monopoly is bad.,0,0,4,0,,false
1242940881143042049,https://x.com/Outsideness/status/1242940881143042049,2020-03-25 22:26:13,"Frenzied, brazen looting on a scale that shouldn't even be imaginable.",9,14,145,0,,true
